,id,miles,price,state,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain,brand,model
790,681408904,183538,3900,VA,2006,4.2,0,auto,AWD,Akoya Silver Metallic,Platinum,Used 2006 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
791,686034992,188155,10995,TX,2010,4.2,0,auto,,Black,Tan,Used 2010 Audi A8 4.2 quattro,6 speed automatic,Audi,A8
792,700644128,38896,36626,AL,2012,4.2,0,auto,AWD,Phantom Black Pearl,Velvet Beige,Used 2012 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
793,127240354,152936,4401,VA,2004,4.2,0,auto,AWD,Night Blue Pearl,Beige,Used 2004 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
794,700224551,59129,32987,CA,2012,4.2,0,auto,AWD,Black,,Used 2012 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
795,698244665,96930,16900,WI,2009,,0,auto,,Quartz Gray,Amaretto,Used 2009 Audi A8,6 speed automatic,Audi,A8
796,699612127,97629,9995,OH,2005,4.2,0,auto,AWD,Platinum Beige Pearl,Beige,Used 2005 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
797,699739834,124288,8990,ME,2005,4.2,0,auto,AWD,Silver,Black,Used 2005 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
798,695911541,132000,8950,MI,2007,4.2,0,auto,AWD,Blue,Black,Used 2007 Audi A8 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
799,73165952,81755,4900,VA,2004,4.2,0,auto,AWD,Silver,Platinum,Used 2004 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
800,51126458,100991,5901,VA,2004,4.2,0,auto,AWD,Silver,Platinum,Used 2004 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
801,76189241,113096,5501,VA,2004,4.2,0,auto,AWD,Blue,Brown,Used 2004 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
802,700061754,130150,7800,CA,2006,4.2,0,auto,AWD,Dark Blue,,Used 2006 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
803,699602317,11880,49995,IL,2014,3.0,0,auto,AWD,Moonlight Blue Metallic,Nougat Brown,Used 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
804,689251107,160102,8957,NV,2006,4.2,0,auto,AWD,Brilliant Black,Brown,Used 2006 Audi A8 L 4.2 quattro,Brilliant Black (ext) | Brown (int),Audi,A8
805,696033290,22682,41999,GA,2014,4.0,0,auto,AWD,Black,Black,Used 2014 Audi A8 4.0T,8-Speed Automatic | AWD,Audi,A8
806,699198058,34199,45000,PA,2014,4.0,0,auto,AWD,White,Nougat Brown,Used 2014 Audi A8 4.0T,8-Speed Automatic | AWD,Audi,A8
807,681415368,51000,39999,VA,2012,4.2,0,auto,AWD,Black,Brown,Used 2012 Audi A8 L 4.2 quattro,8-Speed Automatic | AWD,Audi,A8
808,700447816,32692,45000,GA,2014,3.0,0,auto,AWD,Night Blue Pearl,Velvet Beige,Used 2014 Audi A8 L 3.0T,8-Speed Automatic | AWD,Audi,A8
809,699437171,40482,41994,CA,2014,4.0,0,auto,AWD,Black,Black,Used 2014 Audi A8 L 4.0T,Black (ext) | Black (int),Audi,A8
810,700021991,99920,15498,WI,2012,4.2,0,auto,AWD,Phantom Black Pearl,Black,Used 2012 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
811,686380864,117571,19780,OH,2009,4.2,0,auto,AWD,Phantom Black Pearl,,Used 2009 Audi A8 L 4.2 quattro,6-Speed Automatic | AWD,Audi,A8
