,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int
97,690307738,0,Used 2016 BMW 528 i,8-Speed Automatic | RWD,48172,AL,BMW,5,2016,,0,auto,RWD,Alpine White,Black
98,693740367,0,Used 2007 BMW 525 i,6-Speed Automatic w/OD | RWD,7999,CA,BMW,5,2007,,0,auto,RWD,Black,
99,698315592,0,Used 2017 BMW 530 i,8-Speed Automatic | RWD,54583,AZ,BMW,5,2017,,0,auto,RWD,Silver,Black
100,671109606,0,Used 2016 BMW 528 i,8-Speed Automatic | RWD,57179,TX,BMW,5,2016,,0,auto,RWD,Black Sapphire Metallic,Black
101,697209671,0,Used 2010 BMW 528 i,6-Speed Automatic | RWD,8777,FL,BMW,5,2010,,0,auto,RWD,Blue Metallic,Tan
102,695154803,0,Used 2017 BMW 530 i xDrive,6-Speed Automatic | RWD,4977,FL,BMW,5,2017,,0,auto,RWD,Jet Black,Black
103,690857471,0,Used 2016 BMW 528 i xDrive,8-Speed Automatic | AWD,59445,AZ,BMW,5,2016,,0,auto,AWD,Jet Black,Black
104,698315593,0,Used 2017 BMW 530 i,8-Speed Automatic | RWD,55733,AZ,BMW,5,2017,,0,auto,RWD,Mineral White Metallic,Blue
105,698054040,0,Used 2017 BMW 530 i,8-Speed Automatic | RWD,55695,AZ,BMW,5,2017,,0,auto,RWD,Jatoba,Beige / Black
106,697754583,0,Certified 2014 BMW 528 i,8-Speed Automatic | RWD,27993,FL,BMW,5,2014,,1,auto,RWD,Jet Black,Black
107,687182891,0,Used 2016 BMW 528 i,8-Speed Automatic | RWD,53745,AL,BMW,5,2016,,0,auto,RWD,Alpine White,Black
108,693664656,3,Used 2017 BMW 530 i xDrive,8-Speed Automatic | AWD,60345,OH,BMW,5,2017,,0,auto,AWD,Black Sapphire Metallic,Black
109,693028949,10,Used 2016 BMW 528 i,8-Speed Automatic | RWD,46777,SC,BMW,5,2016,,0,auto,RWD,Alpine White,Black
110,685535679,17,Used 2015 BMW 528 i xDrive,8-Speed Automatic | AWD,46998,MD,BMW,5,2015,,0,auto,AWD,Alpine White,Black
