,id,miles,price,state,brand,model,year,capacity,Certified,gearbox,dwheel,ext,int,name,powertrain
173,696640726,106725,19900,NC,Acura,RLX,2014,,0,auto,FWD,Gray,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
174,693370137,4245,42952,PA,Acura,RLX,2016,,1,auto,FWD,Crystal Black Pearl,Graystone,Certified 2016 Acura RLX Advance Pkg,6-Speed Automatic w/OD | FWD
175,689033134,10455,34967,IN,Acura,RLX,2016,,0,auto,FWD,White,,Used 2016 Acura RLX Technology Package,6-Speed Automatic | FWD
176,700267810,24202,25500,VA,Acura,RLX,2014,,0,auto,FWD,White,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
177,696385004,28578,29000,VA,Acura,RLX,2014,,1,auto,FWD,Black,Ebony,Certified 2014 Acura RLX Base,6-Speed Automatic w/OD | FWD
178,696804463,32232,25000,OH,Acura,RLX,2014,,0,auto,FWD,Pomegranate Pearl,Greystone,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
179,696266663,34762,26995,FL,Acura,RLX,2014,,0,auto,FWD,Burgundy,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
180,685640901,41368,25488,NY,Acura,RLX,2014,,0,auto,FWD,Silver,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
181,689092266,48575,21500,CT,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Ebony,Used 2014 Acura RLX Navigation,6-Speed Automatic | FWD
182,700172110,53533,21940,KY,Acura,RLX,2014,,0,auto,FWD,Black,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
183,695991729,11521,30698,IL,Acura,RLX,2014,,1,auto,FWD,Graphite Luster Metallic,Ebony,Certified 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
184,698089806,47700,23982,SC,Acura,RLX,2014,,0,auto,FWD,Bellanova White Pearl,Greystone,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
185,686070788,54699,21995,VA,Acura,RLX,2014,,0,auto,FWD,Black,GRAYSTONE,Used 2014 Acura RLX,6 speed automatic | FWD
186,699124996,71616,19970,MD,Acura,RLX,2014,,0,auto,FWD,Silver Moon,Ebony,Used 2014 Acura RLX Tech Pkg,6-Speed Automatic w/OD | FWD
187,697682973,21887,24900,MA,Acura,RLX,2014,,0,auto,FWD,Black,,Used 2014 Acura RLX Base,6-Speed Automatic | FWD
188,688024023,22561,40888,SC,Acura,RLX,2016,,0,auto,FWD,Bellanova White Pearl,Seacoast,Used 2016 Acura RLX Technology Package,6-Speed Automatic | FWD
189,696245604,27734,26998,TX,Acura,RLX,2014,,0,auto,FWD,Silver,Gray,Used 2014 Acura RLX Tech Pkg,Automatic | FWD
190,698413534,28279,28449,WA,Acura,RLX,2014,,1,auto,FWD,Forged Silver Metallic,Black,Certified 2014 Acura RLX Tech Pkg,6-Speed Automatic w/OD | FWD
191,695658092,29612,26900,KY,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
192,692708701,30314,28999,OH,Acura,RLX,2014,,0,auto,FWD,Maroon,Tan,Used 2014 Acura RLX Advance Pkg,6-Speed Automatic w/OD | FWD
193,691610229,32599,22000,IL,Acura,RLX,2014,,0,auto,FWD,Black,,Used 2014 Acura RLX Tech Pkg,6-Speed Automatic w/OD | FWD
194,693204779,51893,22072,NY,Acura,RLX,2014,,0,auto,FWD,Gray,,Used 2014 Acura RLX Base,6-Speed Automatic | FWD
195,700644296,51973,22500,MD,Acura,RLX,2014,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
196,694474687,55062,22402,NJ,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Ebony,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
197,700478369,0,54450,AZ,Acura,RLX,2017,,0,auto,FWD,Crystal Black Pearl,Ebony,Used 2017 Acura RLX Technology Package,6-Speed Automatic | FWD
198,695397518,13421,34974,IL,Acura,RLX,2014,,1,auto,FWD,Crystal Black Pearl,Ebony,Certified 2014 Acura RLX Base,6-Speed Automatic | FWD
199,698258850,15004,29474,IL,Acura,RLX,2014,,0,auto,FWD,White,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
200,698765966,20114,34950,TX,Acura,RLX,2016,,1,auto,FWD,Slate Silver Metallic,Greystone,Certified 2016 Acura RLX Technology Package,6-Speed Automatic | FWD
201,695887192,34835,23488,OK,Acura,RLX,2014,,0,auto,FWD,Black,,Used 2014 Acura RLX,6-Speed Automatic | FWD
202,690343197,36995,25550,VA,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
203,698557400,43699,24393,TX,Acura,RLX,2014,,1,auto,FWD,Pewter,Seacoast,Certified 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
204,698766074,47310,24783,TX,Acura,RLX,2014,,1,auto,FWD,Crystal Black Pearl,Ebony,Certified 2014 Acura RLX w/ Navigation,6-Speed Automatic | FWD
205,698258852,51051,23473,IL,Acura,RLX,2014,,0,auto,FWD,Black,,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
206,699921396,13434,33657,GA,Acura,RLX,2014,,0,auto,FWD,Black,Ebony,Used 2014 Acura RLX Advance Package,6-Speed Automatic | FWD
207,693393951,23529,24999,CT,Acura,RLX,2014,,0,auto,FWD,White,Tan,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
208,700599401,26610,28900,CT,Acura,RLX,2014,,0,auto,FWD,Graphite Luster Metallic,Greystone,Used 2014 Acura RLX Technology Package,6-Speed Automatic | FWD
