,id,miles,price,state,brand,model,year,capacity,Certified,dwheel,gearbox,ext,int,name,powertrain
230,689096857,6253,30913,TX,Audi,A4,2016,2.0,0,AWD,auto,Brilliant Black,Black,Used 2016 Audi A4 2.0T Premium quattro,8-Speed Automatic | AWD
231,695084164,6258,38485,CT,Audi,A4,2017,,1,AWD,auto|manual,Mythos Black Metallic,Black,Certified 2017 Audi A4 Premium,7-Speed Auto-Shift Manual w/OD | AWD
232,696622939,6312,32987,CA,Audi,A4,2017,2.0,0,FWD,auto,Florett Silver Metallic,Black,Used 2017 Audi A4 2.0T Premium,7-Speed Automatic with Auto-Shift | FWD
233,686513041,6318,38995,NC,Audi,A4,2017,2.0,1,AWD,auto,Tango Red Metallic,Atlas Beige / Black,Certified 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
234,698010055,6318,38953,MI,Audi,A4,2017,2.0,1,AWD,auto,Glacier White Metallic,Nougat Brown / Black,Certified 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
235,699074467,6377,35070,TN,Audi,A4,2017,2.0,0,FWD,auto,Mythos Black Metallic,Nougat Brown / Black,Used 2017 Audi A4 2.0T Premium,Automatic | FWD
236,694150778,6427,34999,CA,Audi,A4,2017,2.0,1,FWD,auto,Monsoon Gray Metallic,Rock Gray,Certified 2017 Audi A4 2.0T Premium,Automatic | FWD
237,689946883,6531,36900,OH,Audi,A4,2017,2.0,0,AWD,auto,Manhattan Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium quattro,7-Speed Automatic with Auto-Shift | AWD
238,695768444,6586,38368,NY,Audi,A4,2017,2.0,0,AWD,auto,Moonlight Blue Metallic,Nougat Brown / Black,Used 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
239,687595923,6660,30995,CA,Audi,A4,2016,2.0,0,FWD,auto,Brilliant Black,,Used 2016 Audi A4 2.0T Premium,Automatic CVT | FWD
240,694884161,6720,40997,CT,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
241,699074464,6737,35570,TN,Audi,A4,2017,2.0,0,FWD,auto,Manhattan Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium,Automatic | FWD
242,699137586,6750,41999,CT,Audi,A4,2017,2.0,1,AWD,auto,Mythos Black Metallic,Black,Certified 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
243,687276720,6788,35880,OH,Audi,A4,2017,2.0,1,AWD,auto,Brilliant Black,Black,Certified 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
244,699178973,6862,43999,NY,Audi,A4,2017,2.0,0,AWD,auto,Argus Brown Metallic,Atlas Beige / Black,Used 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
245,700138442,6895,38999,PA,Audi,A4,2017,2.0,1,AWD,auto,Cuvee Silver Metallic,Black,Certified 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
246,697524916,6966,32444,GA,Audi,A4,2017,2.0,0,FWD,auto,Mythos Black Metallic,Black,Used 2017 Audi A4 2.0T Premium,7-Speed Automatic with Auto-Shift | FWD
247,685143532,7008,37888,NY,Audi,A4,2017,2.0,0,AWD,auto,Manhattan Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
248,698002328,7036,36500,CA,Audi,A4,2017,2.0,0,FWD,auto,Monsoon Gray Metallic,Black,Used 2017 Audi A4 2.0T Premium,Automatic | FWD
249,697480829,7084,35983,TX,Audi,A4,2017,2.0,1,AWD,auto,Ibis White,Black,Certified 2017 Audi A4 2.0T Premium quattro,Automatic | AWD
250,699510884,7089,32995,ID,Audi,A4,2015,2.0,0,AWD,auto,Tornado Gray Metallic,Brown/Black,Used 2015 Audi A4 2.0T Premium Plus quattro,Automatic | AWD
251,697953602,7094,42997,IL,Audi,A4,2017,2.0,1,AWD,auto,Manhattan Gray Metallic,Black,Certified 2017 Audi A4 2.0T Premium Plus,7-Speed Automatic with Auto-Shift | AWD
252,692127499,7114,26495,PA,Audi,A4,2016,2.0,0,AWD,auto,Brilliant Black,Black,Used 2016 Audi A4 2.0T Premium quattro,8-Speed Automatic | AWD
253,697606522,7139,34000,FL,Audi,A4,2017,2.0,1,FWD,auto,Manhattan Gray Metallic,Black,Certified 2017 Audi A4 2.0T Premium,Automatic | FWD
254,696189041,7195,38484,TX,Audi,A4,2017,2.0,0,AWD,auto,Florett Silver Metallic,Black,Used 2017 Audi A4 2.0T Premium Plus,Automatic | AWD
255,697087821,7249,46989,NJ,Audi,A4,2017,2.0,0,AWD,auto,Mythos Black Metallic,Black,Used 2017 Audi A4 2.0T Prestige,7-Speed Automatic with Auto-Shift | AWD
