,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,strange_pt2,gearbox,dwheel,ext,int
2938,694731581,62699,Used 2011 Lexus IS 250 Base,6-Speed Automatic | RWD,16792,TX,lexus,IS,2011,,0,0,auto,RWD,Smoky Granite Mica,Black
2939,698512846,64480,Used 2010 Lexus IS 250,6-Speed Automatic | RWD,16995,UT,lexus,IS,2010,,0,0,auto,RWD,Silver,Light Gray
2940,698361347,67406,Used 2012 Lexus IS 250C Base,6-Speed Automatic | RWD,19995,PA,lexus,IS,2012,,0,0,auto,RWD,Charcoal,Black
2941,694093680,68100,Used 2011 Lexus IS 250C Base,6-Speed Automatic | RWD,19987,AR,lexus,IS,2011,,0,0,auto,RWD,Blue,
2942,699185772,69870,Used 2010 Lexus IS 250,6-Speed Automatic | AWD,16987,IL,lexus,IS,2010,,0,0,auto,AWD,Glacier Frost Mica,Black
2943,698006765,71612,Used 2011 Lexus IS 250 Base,6-Speed Automatic | RWD,15883,CA,lexus,IS,2011,,0,0,auto,RWD,Obsidian Black,Black
2944,696689748,72497,Used 2010 Lexus IS 250C,6-Speed Automatic | RWD,19995,CA,lexus,IS,2010,,0,0,auto,RWD,Pearl,
2945,667015386,73000,Used 2009 Lexus IS 250,6-Speed Automatic | RWD,15995,AZ,lexus,IS,2009,,0,0,auto,RWD,Black,Black
2946,694366182,73986,Used 2011 Lexus IS 250 Base,6-Speed Automatic | RWD,18999,AL,lexus,IS,2011,,0,0,auto,RWD,Glacier Frost Mica,Light Gray
2947,700128814,74073,Used 2012 Lexus IS 250 Base,6-Speed Automatic | AWD,16434,NJ,lexus,IS,2012,,0,0,auto,AWD,Obsidian Black,Black
2948,698934285,74141,Used 2013 Lexus IS 250 Base,6-Speed Automatic | AWD,19950,OR,lexus,IS,2013,,0,0,auto,AWD,Silver,Black
2949,679433653,76749,Used 2009 Lexus IS 250,6-Speed Automatic | AWD,15000,ID,lexus,IS,2009,,0,0,auto,AWD,Matador Red Mica,Ecru / Light Brown
2950,694973958,77852,Used 2011 Lexus IS 250 Base,6-Speed Automatic | AWD,14588,VA,lexus,IS,2011,,0,0,auto,AWD,Matador Red Mica,Light Gray
2951,697321654,79046,Used 2007 Lexus IS 250 Sport Sedan Automatic RWD,6-Speed Automatic | RWD,14950,TX,lexus,IS,2007,,0,0,auto,RWD,Smoky Granite,Black
2952,690831451,79566,Used 2011 Lexus IS 250 Base,6-Speed Automatic | RWD,14888,FL,lexus,IS,2011,,0,0,auto,RWD,Glacier Frost Mica,Light Gray
2953,699588002,80021,Used 2008 Lexus IS 250,6-Speed Automatic | RWD,13498,OH,lexus,IS,2008,,0,0,auto,RWD,Burgundy Pearl,Tan
2954,697976403,85000,Used 2008 Lexus IS 250,6-Speed Automatic | AWD,9999,NY,lexus,IS,2008,,0,0,auto,AWD,Gray,Black
2955,664834438,85402,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,17900,CA,lexus,IS,2007,,0,0,auto,AWD,Silver,Black
2956,671218190,85618,Used 2009 Lexus IS 250,6-Speed Automatic | RWD,14995,FL,lexus,IS,2009,,0,0,auto,RWD,Gray,Black
2957,695308835,86118,Used 2011 Lexus IS 250 Base,6-Speed Automatic | RWD,15990,GA,lexus,IS,2011,,0,0,auto,RWD,Maroon,Gray
2958,699727304,87256,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,17988,CA,lexus,IS,2012,,0,0,auto,RWD,Red Jewel,
2959,696689493,92166,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,19143,OK,lexus,IS,2014,,0,0,auto,RWD,Matador Red Mica,Parchment
2960,700623833,92610,Used 2010 Lexus IS 250,6-Speed Automatic | RWD,14950,PA,lexus,IS,2010,,0,0,auto,RWD,White,Tan
2961,700467439,94273,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,11490,FL,lexus,IS,2006,,0,0,auto,AWD,Silver,Black
2962,693032240,94312,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,8995,TX,lexus,IS,2007,,0,0,auto,AWD,Black,
2963,690524212,95589,Used 2009 Lexus IS 250,6-Speed Automatic | RWD,11788,FL,lexus,IS,2009,,0,0,auto,RWD,Obsidian Black,Black
2964,695709497,105509,Used 2006 Lexus IS 250,6-Speed Automatic | AWD,10499,IL,lexus,IS,2006,,0,0,auto,AWD,Smoky Granite,Black
2965,693307031,107422,Used 2007 Lexus IS 250,6-Speed Automatic | RWD,11788,WA,lexus,IS,2007,,0,0,auto,RWD,Black,Black
2966,681599629,107860,Used 2008 Lexus IS 250,6-Speed Automatic | RWD,10590,TX,lexus,IS,2008,,0,0,auto,RWD,Black,Black
2967,693463475,108527,Used 2011 Lexus IS 250 Base,6-Speed Automatic | AWD,15988,CA,lexus,IS,2011,,0,0,auto,AWD,Obsidian Black,Tan
2968,672658528,108631,Used 2005 Lexus IS 300,5-Speed Automatic | RWD,6499,CA,lexus,IS,2005,,0,0,auto,RWD,Blue,Black
2969,667509627,108871,Used 2009 Lexus IS 250,6-Speed Automatic | AWD,14977,CA,lexus,IS,2009,,0,0,auto,AWD,Black,Black
