price_tag,price_t
Benz_E_2014_5.5_E550,68700
Benz_E_2014_4.0_E400,63100
Benz_E_2014_3.5_E350,53100
Benz_E_2014_2.5_E250,52650
Benz_E_2013_6.2_E63,101700
Benz_E_2013_5.5_E550,68700
Benz_E_2013_4.0_E400,63100
Benz_E_2013_3.5_E350,53100
Benz_E_2012_6.2_E63,101700
Benz_E_2012_5.5_E550,68700
Benz_E_2012_3.5_E350,53100
Benz_E_2011_6.2_E63,101700
Benz_E_2011_5.5_E550,68700
Benz_E_2011_3.5_E350,53100
Benz_E_2010_6.2_E63,101700
Benz_E_2010_5.5_E550,68700
Benz_E_2010_3.5_E350,53100
Benz_E_2009_6.2_E63,101700
Benz_E_2009_5.5_E550,68700
Benz_E_2009_3.5_E350,53100
Benz_E_2009_3.2_E320,33150
Benz_E_2008_6.2_E63,101700
Benz_E_2008_5.5_E550,68700
Benz_E_2008_3.5_E350,53100
Benz_E_2008_3.2_E320,33150
Benz_E_2007_6.2_E63,101700
Benz_E_2007_5.5_E550,68700
Benz_E_2007_3.5_E350,53100
Benz_E_2007_3.2_E320,33150
Benz_E_2006_5.5_E550,68700
Benz_E_2006_5.0_E500,58400
Benz_E_2006_3.5_E350,53100
Benz_E_2006_3.2_E320,33150
Benz_E_2005_5.5_E550,68700
Benz_E_2005_5.0_E500,58400
Benz_E_2005_3.2_E320,33150
Benz_E_2004_5.5_E550,68700
Benz_E_2004_5.0_E500,58400
Benz_E_2004_3.2_E320,33150
Benz_E_2003_5.5_E550,68700
Benz_E_2003_5.0_E500,58400
Benz_E_2003_3.2_E320,33150
Benz_E_2002_5.5_E550,68700
Benz_E_2002_4.3_E430,53850
Benz_E_2002_3.2_E320,33150
Benz_E_2001_5.5_E550,68700
Benz_E_2001_4.3_E430,53850
Benz_E_2001_3.2_E320,33150
Benz_E_2000_4.3_E430,53850
Benz_E_2000_3.2_E320,33150
Benz_E_1999_5.5_E550,68700
Benz_E_1999_4.3_E430,53850
Benz_E_1999_3.2_E320,33150
Benz_E_1999_3.0_E300,39900
Benz_E_1998_3.2_E320,33150
Benz_E_1998_3.0_E300,39900
Benz_E_1997_4.2_E420,49900
Benz_E_1997_3.2_E320,33150
Benz_E_1997_3.0_E300,39900
Benz_E_1996_3.2_E320,33150
Benz_E_1996_3.0_E300,39900
Benz_E_1995_3.2_E320,33150
Benz_E_1994_3.2_E320,33150
Benz_E_1993_5.0_E500,58400
Benz_E_1993_3.0_E300,39900
Benz_E_1992_3.0_E300,39900
Benz_E_1991_3.0_E300,39900
Benz_E_1991_2.5_E300,39900
Benz_E_1989_3.0_E300,39900
Benz_E_1988_3.0_E300,39900
