price_tag,price,org_price
Benz_S_1992_6.0,17750,
Benz_S_1992_5.0,10995,
Benz_S_1991_5.6,32900,
Benz_S_1991_5.0,3995,
Benz_S_1991_4.2,10995,
Benz_S_1991_3.0,5990,
Benz_S_1990_5.6,10995,
Benz_S_1990_4.2,9500,
Benz_S_1990_3.0,7595,
Benz_S_1989_5.6,8975,
Benz_S_1989_4.2,19900,
Benz_S_1988_3.0,14900,
Benz_S_1987_5.6,18500,
Benz_S_1987_5.0,13400,
Benz_S_1987_4.2,13900,
Benz_S_1986_5.6,16900,
Benz_S_1986_4.2,5888,
Benz_S_1985_5.0,5995,
Benz_S_1985_3.8,9800,
Benz_S_1984_5.0,10950,
Benz_S_1984_3.8,6500,
Benz_S_1983_3.8,3995,
Benz_E_2017_2.0,74450,
Benz_E_2016_5.5,67880,
Benz_E_2016_4.0,64991,
Benz_E_2016_3.5,70240,
Benz_E_2016_3.0,45980,
Benz_E_2016_2.5,54998,
Benz_E_2015_6.2,81950,
Benz_E_2015_5.5,61900,
Benz_E_2015_4.0,67310,
Benz_E_2015_3.5,60900,
Benz_E_2015_3.0,43993,
Benz_E_2015_2.5,50900,
Benz_E_2014_6.2,84999,
Benz_E_2014_5.5,59962,
Benz_E_2014_4.0,39981,
Benz_E_2014_3.5,62000,
Benz_E_2014_3.0,72881,
Benz_E_2014_2.5,40998,
Benz_E_2013_6.2,66990,
Benz_E_2013_5.5,43995,
Benz_E_2013_4.0,42500,
Benz_E_2013_3.5,43995,
Benz_E_2013_3.0,27901,
Benz_E_2012_6.2,60153,
Benz_E_2012_5.5,35995,
Benz_E_2012_3.5,47900,
Benz_E_2012_3.0,35995,
Benz_E_2011_6.2,43591,
Benz_E_2011_5.5,34000,
Benz_E_2011_3.5,36995,
Benz_E_2011_3.0,27981,
Benz_E_2010_6.2,38995,
Benz_E_2010_5.5,33990,
Benz_E_2010_3.5,26647,
Benz_E_2010_3.0,23490,
Benz_E_2009_6.2,27888,
Benz_E_2009_5.5,18995,
Benz_E_2009_3.5,22991,
Benz_E_2009_3.2,15881,
Benz_E_2009_3.0,26447,
Benz_E_2008_6.2,31900,
Benz_E_2008_5.5,17488,
Benz_E_2008_3.5,19961,
Benz_E_2008_3.2,15997,
Benz_E_2008_3.0,17500,
Benz_E_2007_6.2,34900,
Benz_E_2007_5.5,16999,
Benz_E_2007_3.5,17998,
Benz_E_2007_3.2,20900,
Benz_E_2006_5.5,18995,
Benz_E_2006_5.0,15999,
Benz_E_2006_3.5,15555,
Benz_E_2006_3.2,15998,
Benz_E_2006_3.0,10995,
Benz_E_2005_5.5,29999,
Benz_E_2005_5.0,13999,
Benz_E_2005_3.2,14900,
Benz_E_2005_3.0,7998,
Benz_E_2004_5.5,25995,
Benz_E_2004_5.0,11995,
Benz_E_2004_3.2,11695,
Benz_E_2004_3.0,9995,
Benz_E_2003_5.5,13976,
Benz_E_2003_5.0,14988,
Benz_E_2003_3.2,11995,
Benz_E_2003_3.0,5500,
Benz_E_2002_5.5,9500,
Benz_E_2002_4.3,5900,
Benz_E_2002_3.2,6995,
Benz_E_2002_3.0,6876,
Benz_E_2001_5.5,12975,
Benz_E_2001_4.3,7998,
Benz_E_2001_3.2,10995,
Benz_E_2001_3.0,6899,
Benz_E_2000_4.3,8988,
Benz_E_2000_3.2,9830,
Benz_E_2000_3.0,6500,
Benz_E_1999_5.5,8999,
Benz_E_1999_4.3,6995,
Benz_E_1999_3.2,10880,
Benz_E_1999_3.0,8988,
Benz_E_1998_3.2,6995,
Benz_E_1998_3.0,9995,
Benz_E_1997_4.2,10995,
Benz_E_1997_3.2,12900,
Benz_E_1997_3.0,7999,
Benz_E_1996_3.2,4995,
Benz_E_1996_3.0,4999,
Benz_E_1995_3.2,32995,
Benz_E_1994_3.2,19900,
Benz_E_1993_5.0,29995,
Benz_E_1993_3.0,2900,
Benz_E_1992_3.0,7977,
Benz_E_1991_3.0,11995,
Benz_E_1991_2.5,2900,
Benz_E_1989_3.0,3995,
Benz_E_1989_2.6,4995,
Benz_E_1988_3.0,1500,
Benz_E_1987_3.0,4800,
Benz_E_1986_3.0,5995,
Benz_E_1985_3.0,30500,
Benz_E_1984_3.0,7995,
Benz_E_1983_3.0,14995,
Benz_C_2017_3.5,42995,
Benz_C_2017_3.0,59826,
Benz_C_2017_2.0,60915,
Benz_C_2016_4.0,76487,
Benz_C_2016_3.5,45210,
Benz_C_2016_3.0,58995,
Benz_C_2016_2.0,53905,
Benz_C_2015_3.5,79900,
Benz_C_2015_3.0,47556,
Benz_C_2015_2.0,44854,
Benz_C_2014_6.2,60998,
Benz_C_2014_3.5,35988,
Benz_C_2014_3.0,31900,
Benz_C_2014_1.8,38585,
Benz_C_2013_6.2,139900,
Benz_C_2013_3.5,35497,
Benz_C_2013_3.0,39229,
Benz_C_2013_1.8,30991,
Benz_C_2012_6.2,42995,
Benz_C_2012_3.5,27800,
Benz_C_2012_3.0,20600,
Benz_C_2012_1.8,20777,
Benz_C_2011_6.2,41980,
Benz_C_2011_3.5,19495,
Benz_C_2011_3.0,20000,
Benz_C_2010_6.2,35994,
Benz_C_2010_3.5,16988,
Benz_C_2010_3.0,34677,
Benz_C_2009_6.2,36786,
Benz_C_2009_3.5,19700,
Benz_C_2009_3.0,29497,
Benz_C_2008_6.2,27995,
Benz_C_2008_3.5,16499,
Benz_C_2008_2.8,15995,
Benz_C_2007_3.5,8999,
Benz_C_2007_3.2,8995,
Benz_C_2007_2.8,11995,
Benz_C_2007_2.5,8999,
Benz_C_2007_2.3,12999,
Benz_C_2006_5.5,17250,
Benz_C_2006_3.5,9990,
Benz_C_2006_3.2,12900,
Benz_C_2006_2.8,12900,
Benz_C_2006_2.3,10995,
Benz_C_2005_5.5,15987,
Benz_C_2005_3.5,9997,
Benz_C_2005_3.2,10449,
Benz_C_2005_2.6,6619,
Benz_C_2005_2.4,10848,
Benz_C_2005_2.3,9995,
Benz_C_2005_1.8,5990,
